"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Sep-2024","EQ","11,507.10","11,717.00","11,477.25","11,362.65","11,595.70","11,575.60","11,610.15","11,717.00","3,868.80","3,41,188","3,96,12,43,082.90","41,703"
"11-Sep-2024","EQ","11,402.00","11,566.60","11,214.95","11,257.30","11,412.50","11,362.65","11,406.65","11,575.00","3,868.80","2,86,214","3,26,47,42,542.55","40,927"
"10-Sep-2024","EQ","11,300.00","11,449.80","11,030.00","10,922.45","11,260.00","11,257.30","11,251.27","11,575.00","3,868.80","3,59,537","4,04,52,47,223.00","50,268"
"09-Sep-2024","EQ","10,850.00","11,024.20","10,759.40","10,847.80","10,950.25","10,922.45","10,903.98","11,575.00","3,868.80","1,38,898","1,51,45,40,876.25","26,507"
"06-Sep-2024","EQ","11,250.05","11,333.00","10,805.45","11,267.10","10,864.00","10,847.80","11,027.83","11,575.00","3,868.80","1,58,478","1,74,76,67,941.55","29,803"
"05-Sep-2024","EQ","11,299.90","11,319.00","11,160.15","11,224.00","11,271.00","11,267.10","11,251.17","11,575.00","3,868.80","1,40,806","1,58,42,32,630.30","27,813"
"04-Sep-2024","EQ","11,349.00","11,350.00","11,133.00","11,455.25","11,237.00","11,224.00","11,239.17","11,575.00","3,868.80","2,07,209","2,32,88,57,720.25","34,744"
"03-Sep-2024","EQ","10,980.00","11,575.00","10,928.20","10,937.75","11,470.00","11,455.25","11,357.32","11,575.00","3,868.80","4,98,450","5,66,10,58,013.10","62,481"
"02-Sep-2024","EQ","10,874.05","11,024.00","10,720.75","10,988.70","10,925.20","10,937.75","10,885.82","11,443.60","3,868.80","2,48,927","2,70,97,73,603.60","38,559"
"30-Aug-2024","EQ","10,888.80","11,266.95","10,727.80","10,807.75","10,799.95","10,988.70","11,009.10","11,443.60","3,868.80","30,31,738","33,37,66,99,586.50","1,36,666"
"29-Aug-2024","EQ","10,999.00","11,009.00","10,762.00","11,020.50","11,000.00","10,807.75","10,834.79","11,443.60","3,868.80","3,49,528","3,78,70,62,173.65","35,885"
"28-Aug-2024","EQ","10,954.55","11,142.75","10,894.95","10,950.10","10,999.50","11,020.50","11,037.96","11,443.60","3,868.80","3,35,216","3,70,01,01,359.80","40,133"
"27-Aug-2024","EQ","11,044.70","11,048.95","10,833.75","11,007.45","10,936.25","10,950.10","10,939.41","11,443.60","3,868.80","1,86,166","2,03,65,46,202.50","25,418"
"26-Aug-2024","EQ","11,049.00","11,187.15","10,995.80","10,931.50","11,000.00","11,007.45","11,068.31","11,443.60","3,868.80","2,35,922","2,61,12,58,427.75","26,596"
"23-Aug-2024","EQ","11,161.60","11,161.60","10,900.00","11,106.05","10,931.35","10,931.50","10,961.24","11,443.60","3,868.80","1,97,480","2,16,46,25,004.00","19,876"
"22-Aug-2024","EQ","11,224.00","11,307.00","11,020.00","11,158.00","11,110.00","11,106.05","11,141.50","11,443.60","3,868.80","2,58,898","2,88,45,11,806.55","26,217"
"21-Aug-2024","EQ","11,098.00","11,198.00","11,001.35","11,056.70","11,150.45","11,158.00","11,131.90","11,443.60","3,868.80","2,23,275","2,48,54,74,021.40","23,082"
"20-Aug-2024","EQ","11,030.00","11,124.40","10,950.80","10,944.15","11,028.30","11,056.70","11,045.66","11,443.60","3,868.80","2,22,688","2,45,97,36,705.35","28,490"
"19-Aug-2024","EQ","10,969.30","11,135.90","10,900.00","10,898.45","10,930.00","10,944.15","11,008.25","11,443.60","3,868.80","2,01,063","2,21,33,52,659.70","24,789"
"16-Aug-2024","EQ","10,799.80","11,007.00","10,760.10","10,632.15","10,900.00","10,898.45","10,928.50","11,443.60","3,868.80","4,35,583","4,76,02,69,357.90","45,675"
"14-Aug-2024","EQ","10,786.50","10,897.00","10,606.90","10,732.00","10,633.00","10,632.15","10,753.57","11,443.60","3,868.80","4,15,397","4,46,70,00,381.95","33,543"
"13-Aug-2024","EQ","10,829.00","10,945.00","10,600.00","10,734.55","10,718.00","10,732.00","10,793.97","11,443.60","3,868.80","4,40,334","4,75,29,53,279.85","57,271"
"12-Aug-2024","EQ","10,605.20","10,785.20","10,455.05","10,564.10","10,748.00","10,734.55","10,627.94","11,443.60","3,868.80","3,19,404","3,39,46,05,025.25","37,127"
"09-Aug-2024","EQ","10,263.45","10,590.00","10,263.45","10,061.35","10,575.00","10,564.10","10,485.40","11,443.60","3,860.10","3,40,538","3,57,06,76,351.75","52,263"
"08-Aug-2024","EQ","10,119.00","10,420.00","9,960.65","10,038.60","10,101.00","10,061.35","10,176.17","11,443.60","3,860.10","2,36,879","2,41,05,19,878.70","39,252"
"07-Aug-2024","EQ","9,990.00","10,098.00","9,951.00","9,799.25","10,075.00","10,038.60","10,032.45","11,443.60","3,860.10","1,36,542","1,36,98,50,905.40","22,255"
"06-Aug-2024","EQ","10,144.80","10,276.75","9,758.80","9,882.60","9,830.00","9,799.25","10,053.31","11,443.60","3,860.10","1,92,285","1,93,30,99,957.00","35,401"
"05-Aug-2024","EQ","9,910.65","10,227.45","9,605.05","10,389.60","9,850.35","9,882.60","9,879.53","11,443.60","3,860.10","3,18,616","3,14,77,75,019.60","53,154"
"02-Aug-2024","EQ","10,800.80","10,848.60","10,328.30","10,910.90","10,390.05","10,389.60","10,571.45","11,443.60","3,795.30","2,45,538","2,59,56,93,683.20","45,541"
"01-Aug-2024","EQ","11,180.20","11,222.95","10,802.55","11,044.85","10,900.00","10,910.90","10,997.45","11,443.60","3,795.30","2,37,189","2,60,84,74,112.00","35,805"
"31-Jul-2024","EQ","11,112.00","11,202.10","10,942.00","11,104.80","11,054.45","11,044.85","11,054.03","11,443.60","3,795.30","2,21,107","2,44,41,23,132.95","28,865"
"30-Jul-2024","EQ","11,300.00","11,300.00","11,065.00","11,294.45","11,083.00","11,104.80","11,156.85","11,443.60","3,795.30","1,41,253","1,57,59,39,199.45","25,645"
"29-Jul-2024","EQ","11,203.65","11,443.60","11,097.50","11,093.65","11,260.60","11,294.45","11,284.30","11,443.60","3,795.30","3,86,712","4,36,37,73,494.90","50,934"
"26-Jul-2024","EQ","11,200.00","11,320.00","11,051.00","11,084.10","11,065.00","11,093.65","11,169.49","11,395.95","3,779.25","3,41,053","3,80,93,89,541.85","55,761"
"25-Jul-2024","EQ","10,800.00","11,370.00","10,720.40","11,108.40","11,095.80","11,084.10","11,075.64","11,395.95","3,779.25","8,07,903","8,94,80,40,190.85","1,02,389"
"24-Jul-2024","EQ","11,039.00","11,395.95","11,001.00","10,990.45","11,150.00","11,108.40","11,224.13","11,395.95","3,779.25","5,41,750","6,08,06,74,990.80","78,338"
"23-Jul-2024","EQ","10,849.95","11,065.45","10,370.00","10,804.05","11,045.00","10,990.45","10,869.96","11,240.00","3,779.25","2,70,163","2,93,66,62,175.55","52,073"
"22-Jul-2024","EQ","10,700.00","11,055.00","10,616.00","10,822.30","10,848.00","10,804.05","10,860.53","11,240.00","3,779.25","2,49,350","2,70,80,74,258.35","44,538"
"19-Jul-2024","EQ","11,220.00","11,225.00","10,699.60","10,941.95","10,877.00","10,822.30","10,908.43","11,240.00","3,779.25","5,52,895","6,03,12,18,084.00","63,977"
"18-Jul-2024","EQ","11,044.05","11,204.20","10,827.35","11,092.60","10,955.00","10,941.95","10,935.78","11,240.00","3,779.25","4,86,345","5,31,85,59,843.00","62,624"
"16-Jul-2024","EQ","10,950.00","11,240.00","10,925.00","10,922.75","11,076.00","11,092.60","11,090.91","11,240.00","3,779.25","5,04,778","5,59,84,48,955.65","59,720"
"15-Jul-2024","EQ","10,691.95","11,169.20","10,582.50","10,556.85","10,925.00","10,922.75","10,953.79","11,169.20","3,779.25","8,13,652","8,91,25,70,398.00","1,02,177"
"12-Jul-2024","EQ","10,290.00","10,709.95","10,128.20","10,151.95","10,520.00","10,556.85","10,497.07","10,709.95","3,737.25","4,85,528","5,09,66,21,997.65","75,838"
"11-Jul-2024","EQ","10,340.00","10,350.00","10,032.35","10,250.50","10,152.60","10,151.95","10,157.31","10,529.95","3,737.25","1,54,221","1,56,64,70,430.80","25,082"
"10-Jul-2024","EQ","10,300.00","10,373.55","10,051.00","10,368.90","10,249.00","10,250.50","10,209.31","10,529.95","3,737.25","1,74,464","1,78,11,57,626.15","32,693"
"09-Jul-2024","EQ","10,386.00","10,424.95","10,233.00","10,360.35","10,360.00","10,368.90","10,334.79","10,529.95","3,737.25","1,00,783","1,04,15,71,314.25","23,620"
"08-Jul-2024","EQ","10,478.90","10,500.00","10,320.85","10,425.45","10,336.10","10,360.35","10,390.19","10,529.95","3,737.25","83,115","86,35,80,712.35","19,969"
"05-Jul-2024","EQ","10,488.00","10,488.00","10,370.05","10,436.75","10,434.00","10,425.45","10,422.87","10,529.95","3,737.25","85,779","89,40,63,298.35","16,674"
"04-Jul-2024","EQ","10,431.25","10,529.95","10,375.00","10,431.25","10,430.20","10,436.75","10,467.15","10,529.95","3,737.25","2,20,337","2,30,63,01,449.15","33,450"
"03-Jul-2024","EQ","10,250.10","10,448.70","10,231.00","10,234.70","10,416.00","10,431.25","10,361.06","10,448.70","3,737.25","2,20,559","2,28,52,24,166.35","38,406"
"02-Jul-2024","EQ","10,261.00","10,342.80","10,082.00","10,194.25","10,244.00","10,234.70","10,229.54","10,420.00","3,737.25","2,36,562","2,41,99,20,977.10","40,561"
"01-Jul-2024","EQ","9,905.20","10,420.00","9,890.15","9,882.25","10,199.00","10,194.25","10,239.73","10,420.00","3,737.25","8,83,013","9,04,18,13,217.10","1,01,329"
"28-Jun-2024","EQ","9,875.00","10,050.00","9,688.50","9,854.80","9,884.00","9,882.25","9,867.47","10,050.00","3,737.25","4,98,811","4,92,20,02,972.00","46,981"
"27-Jun-2024","EQ","9,476.00","9,909.20","9,449.00","9,492.10","9,895.00","9,854.80","9,694.40","9,975.00","3,737.25","5,01,309","4,85,98,87,857.30","65,737"
"26-Jun-2024","EQ","9,770.00","9,770.40","9,460.60","9,727.05","9,475.00","9,492.10","9,556.11","9,975.00","3,737.25","1,77,017","1,69,15,94,262.25","28,680"
"25-Jun-2024","EQ","9,782.10","9,819.45","9,692.85","9,782.05","9,722.00","9,727.05","9,750.69","9,975.00","3,737.25","1,22,156","1,19,11,05,771.65","17,285"
"24-Jun-2024","EQ","9,660.05","9,810.45","9,605.00","9,738.90","9,786.00","9,782.05","9,734.04","9,975.00","3,737.25","1,78,150","1,73,41,19,818.15","25,707"
"21-Jun-2024","EQ","9,815.30","9,965.30","9,690.05","9,735.80","9,720.90","9,738.90","9,809.82","9,975.00","3,737.25","3,01,582","2,95,84,63,790.65","37,414"
"20-Jun-2024","EQ","9,830.10","9,925.00","9,701.00","9,833.35","9,753.20","9,735.80","9,791.61","9,975.00","3,737.25","2,39,347","2,34,35,92,793.70","35,676"
"19-Jun-2024","EQ","9,695.00","9,975.00","9,533.65","9,641.85","9,830.00","9,833.35","9,816.62","9,975.00","3,737.25","6,02,326","5,91,28,06,596.55","83,349"
"18-Jun-2024","EQ","9,550.00","9,879.00","9,522.25","9,510.70","9,650.50","9,641.85","9,710.03","9,879.00","3,737.25","6,23,177","6,05,10,70,312.40","73,814"
"14-Jun-2024","EQ","9,658.00","9,793.50","9,445.40","9,658.00","9,509.75","9,510.70","9,583.76","9,793.50","3,523.25","7,70,138","7,38,08,17,294.85","83,711"
"13-Jun-2024","EQ","8,835.00","9,760.00","8,802.00","8,742.85","9,700.00","9,658.00","9,414.26","9,760.00","3,523.25","23,75,475","22,36,33,36,195.95","2,12,074"
"12-Jun-2024","EQ","8,624.95","8,935.00","8,624.95","8,438.25","8,754.00","8,742.85","8,808.67","9,023.00","3,523.25","6,39,358","5,63,18,96,608.10","71,964"
"11-Jun-2024","EQ","8,400.00","8,539.00","8,367.55","8,406.25","8,415.05","8,438.25","8,472.10","9,023.00","3,523.25","1,18,275","1,00,20,38,008.75","24,615"
"10-Jun-2024","EQ","8,310.10","8,474.40","8,137.00","8,406.30","8,375.05","8,406.25","8,309.49","9,023.00","3,523.25","1,84,342","1,53,17,88,522.30","23,496"
"07-Jun-2024","EQ","8,200.00","8,507.65","8,199.00","8,171.85","8,400.00","8,406.30","8,417.21","9,023.00","3,519.25","3,19,142","2,68,62,83,845.05","47,985"
"06-Jun-2024","EQ","7,749.85","8,199.00","7,742.45","7,729.05","8,182.90","8,171.85","8,036.61","9,023.00","3,519.25","3,12,109","2,50,82,99,038.65","43,272"
"05-Jun-2024","EQ","7,321.00","7,807.95","7,290.75","7,290.75","7,705.00","7,729.05","7,686.53","9,023.00","3,519.25","1,65,910","1,27,52,72,096.90","28,605"
"04-Jun-2024","EQ","7,580.00","7,580.00","7,022.55","7,563.30","7,320.00","7,290.75","7,306.80","9,023.00","3,519.25","2,79,924","2,04,53,49,847.35","38,962"
"03-Jun-2024","EQ","7,526.00","7,621.95","7,425.75","7,454.95","7,565.00","7,563.30","7,529.98","9,023.00","3,519.25","88,251","66,45,28,403.00","19,153"
"31-May-2024","EQ","7,450.00","7,497.00","7,368.05","7,421.45","7,465.00","7,454.95","7,423.97","9,023.00","3,519.25","1,62,147","1,20,37,74,122.80","24,674"
"30-May-2024","EQ","7,549.70","7,565.45","7,382.00","7,552.90","7,445.00","7,421.45","7,466.90","9,023.00","3,519.25","2,18,846","1,63,41,01,263.55","31,817"
"29-May-2024","EQ","7,506.25","7,582.60","7,500.25","7,556.25","7,555.00","7,552.90","7,554.00","9,023.00","3,519.25","1,16,498","88,00,26,224.95","14,702"
"28-May-2024","EQ","7,574.90","7,629.90","7,525.25","7,597.55","7,551.00","7,556.25","7,561.47","9,023.00","3,519.25","65,923","49,84,74,691.55","12,229"
"27-May-2024","EQ","7,584.65","7,690.00","7,475.00","7,542.40","7,555.00","7,597.55","7,563.98","9,023.00","3,519.25","1,12,088","84,78,31,851.90","17,302"
"24-May-2024","EQ","7,627.60","7,675.95","7,531.00","7,627.60","7,531.00","7,542.40","7,571.12","9,023.00","3,519.25","73,891","55,94,37,811.15","13,805"
"23-May-2024","EQ","7,655.00","7,700.10","7,605.00","7,653.85","7,630.40","7,627.60","7,649.71","9,023.00","3,519.25","91,772","70,20,29,599.20","14,532"
"22-May-2024","EQ","7,669.95","7,755.95","7,609.00","7,669.35","7,644.05","7,653.85","7,670.43","9,023.00","3,519.25","90,367","69,31,54,191.40","16,916"
"21-May-2024","EQ","7,825.00","7,827.00","7,649.95","7,787.85","7,660.25","7,669.35","7,708.08","9,023.00","3,519.25","69,252","53,38,00,004.70","17,887"
"18-May-2024","EQ","7,840.00","7,850.00","7,770.05","7,786.00","7,804.05","7,787.85","7,799.01","9,023.00","3,500.00","6,853","5,34,46,587.65","1,436"
"17-May-2024","EQ","7,894.95","7,913.70","7,770.00","7,891.75","7,777.00","7,786.00","7,815.28","9,023.00","3,500.00","97,219","75,97,93,422.60","16,812"
"16-May-2024","EQ","7,779.95","7,984.00","7,770.90","7,780.35","7,885.00","7,891.75","7,906.18","9,023.00","3,500.00","1,54,700","1,22,30,85,334.10","24,851"
"15-May-2024","EQ","7,849.85","7,964.95","7,756.50","7,829.65","7,769.95","7,780.35","7,858.28","9,023.00","3,500.00","1,15,498","90,76,15,533.20","20,415"
"14-May-2024","EQ","7,784.65","7,870.00","7,666.05","7,751.80","7,788.40","7,829.65","7,804.39","9,023.00","3,500.00","1,36,326","1,06,39,41,137.55","21,189"
"13-May-2024","EQ","7,580.00","7,763.95","7,517.15","7,580.75","7,742.00","7,751.80","7,652.66","9,023.00","3,500.00","1,36,013","1,04,08,61,276.85","23,352"
"10-May-2024","EQ","7,570.00","7,608.45","7,434.00","7,560.15","7,595.00","7,580.75","7,535.68","9,023.00","3,417.25","1,19,050","89,71,22,167.50","16,990"
"09-May-2024","EQ","7,642.75","7,700.00","7,540.15","7,642.75","7,568.00","7,560.15","7,587.01","9,023.00","3,417.25","1,45,232","1,10,18,77,309.20","26,813"
"08-May-2024","EQ","7,625.05","7,732.35","7,620.00","7,667.65","7,643.50","7,642.75","7,668.76","9,023.00","3,417.25","1,35,120","1,03,62,03,012.45","23,224"
"07-May-2024","EQ","7,725.00","7,805.00","7,560.20","7,860.50","7,660.00","7,667.65","7,687.45","9,023.00","3,417.25","3,81,686","2,93,41,90,219.70","41,516"
"06-May-2024","EQ","7,870.00","7,907.00","7,801.00","7,780.70","7,850.00","7,860.50","7,858.38","9,023.00","3,417.25","3,14,006","2,46,75,77,781.85","26,599"
"03-May-2024","EQ","7,844.00","7,844.00","7,710.00","7,760.25","7,780.00","7,780.70","7,767.34","9,023.00","3,417.25","3,39,722","2,63,87,36,594.35","34,502"
"02-May-2024","EQ","7,615.00","7,775.00","7,595.05","7,598.65","7,760.00","7,760.25","7,702.37","9,023.00","3,417.25","3,01,938","2,32,56,39,535.05","43,450"
"30-Apr-2024","EQ","7,500.95","7,659.30","7,402.15","7,451.65","7,574.00","7,598.65","7,571.68","9,023.00","3,417.25","4,24,873","3,21,70,04,237.55","47,926"
"29-Apr-2024","EQ","7,590.00","7,590.00","7,380.00","7,490.60","7,450.00","7,451.65","7,472.53","9,023.00","3,417.25","2,52,212","1,88,46,62,700.75","42,912"
"26-Apr-2024","EQ","7,150.00","7,525.00","7,140.00","7,143.05","7,466.00","7,490.60","7,379.50","9,023.00","3,304.00","7,71,387","5,69,24,49,928.85","80,417"
"25-Apr-2024","EQ","7,151.30","7,578.50","7,111.00","7,358.80","7,179.00","7,143.05","7,283.39","9,023.00","3,304.00","11,00,513","8,01,54,61,028.00","1,15,739"
"24-Apr-2024","EQ","7,381.90","7,499.00","7,339.30","7,346.75","7,375.00","7,358.80","7,410.07","9,023.00","3,304.00","3,34,626","2,47,96,02,650.95","47,837"
"23-Apr-2024","EQ","7,620.00","7,641.95","7,320.00","7,538.50","7,329.20","7,346.75","7,414.78","9,023.00","3,304.00","4,23,409","3,13,94,84,488.35","49,957"
"22-Apr-2024","EQ","7,660.00","7,680.85","7,333.00","7,602.75","7,525.80","7,538.50","7,491.46","9,023.00","3,304.00","3,77,745","2,82,98,59,873.30","53,449"
"19-Apr-2024","EQ","7,661.00","7,710.80","7,526.25","7,725.95","7,601.20","7,602.75","7,622.38","9,023.00","3,227.85","3,10,748","2,36,86,40,369.60","42,574"
"18-Apr-2024","EQ","7,898.00","7,989.85","7,702.60","7,858.40","7,746.35","7,725.95","7,815.95","9,023.00","3,227.85","3,24,760","2,53,83,08,308.25","44,724"
"16-Apr-2024","EQ","8,013.00","8,081.35","7,840.70","8,057.55","7,855.00","7,858.40","7,947.51","9,023.00","3,227.85","2,00,925","1,59,68,53,790.25","32,356"
"15-Apr-2024","EQ","8,200.00","8,216.75","8,037.00","8,204.20","8,050.00","8,057.55","8,133.33","9,023.00","3,227.85","2,02,507","1,64,70,56,452.55","30,733"
"12-Apr-2024","EQ","8,311.00","8,349.85","8,190.00","8,330.65","8,200.00","8,204.20","8,251.64","9,023.00","3,227.85","2,80,609","2,31,54,85,141.40","41,691"
"10-Apr-2024","EQ","8,425.00","8,474.70","8,287.55","8,390.40","8,325.15","8,330.65","8,372.90","9,023.00","3,227.85","1,75,896","1,47,27,60,076.25","29,146"
"09-Apr-2024","EQ","8,593.00","8,757.00","8,370.05","8,563.10","8,395.05","8,390.40","8,520.77","9,023.00","3,227.85","2,30,661","1,96,54,09,853.10","36,003"
